T1,Q1,AT1,I1,V1
298.15,3.05700000000002,0,0,-3.64825636493734
298.372734321733,3.17048313692314,0,54,-4.1217797378039
298.351968069293,3.15990273130464,0,11.1650990639707,-3.7477809094284
298.52351682912,3.24730682443681,0,48.3471845234817,-4.07428352613335
298.523257737803,3.24717481741064,0,19.2191137587029,-3.82019947383438
298.665994443723,3.31989916907679,0,44.8846837272662,-4.04598322158947
298.687744720002,3.33098093484097,0,25.1043142134135,-3.87372688962074
298.814413413283,3.39551863406746,0,42.8701151943923,-4.03040687179135
298.856205813021,3.41681186173443,0,29.4648480811238,-3.91398392038499
298.974328413099,3.47699532647371,0,41.8030745038462,-4.02317844608564
299.033201960384,3.50699139881584,0,32.7437827299308,-3.94483525984071
299.147322253755,3.565135688288,0,41.3463168935675,-4.02134161617147
299.220323934391,3.60233004457211,0,35.2473286620847,-3.96894899261859
299.333204792426,3.6598428417409,0,41.273174855658,-4.02290467175603
299.417738699501,3.70291286739558,0,37.1881170157284,-3.9881749369037
299.531035176999,3.76063742268099,0,41.4320437834004,-4.02653177122083
299.624935884643,3.80847983322579,0,38.7146109826505,-4.00380207126965
299.739594295396,3.86689829350428,0,41.7222632655604,-4.03133276880221
299.841094352759,3.91861257273095,0,39.9311727996075,-4.01673420427827
299.95760048807,3.97797244867166,0,42.0777015639801,-4.0367199830267
300.065266067659,4.03282806147251,0,40.9117816463544,-4.02761003784625
300.183805608008,4.09322395728003,0,42.4555763341321,-4.04231057576939
300.296470496217,4.15062671782252,0,41.7094221633559,-4.0368853108489
300.41703551652,4.2120545956671,0,42.8288428977102,-4.04786004475142
300.533744080257,4.27151760889103,0,42.3625163989697,-4.0448890535275
300.656204930171,4.33391141192203,0,43.1810150738479,-4.05321694480175
300.776166378162,4.39503176967372,0,42.8993354111478,-4.05186215607245
300.900320546901,4.45828831864614,0,43.5026448360597,-4.05829209097339
301.022873592005,4.52072909512651,0,43.3410297852414,-4.05798385038172
301.1484789126,4.58472500596997,0,43.7889329346744,-4.06303763765747
301.27306496781,4.64820160109946,0,43.7037157032827,-4.06338992768196
301.399862012225,4.71280469522839,0,44.0381103242584,-4.06743289009736
301.526004998667,4.77707454682073,0,43.9999148058991,-4.06818530223948
301.65373195755,4.84215143237196,0,44.2503446907131,-4.07147470336544
301.781023074965,4.90700625669453,0,44.2395515557225,-4.07245270369221
301.909425400883,4.97242724174973,0,44.427004489391,-4.07517100567931
302.037511555753,5.03768713765601,0,44.4306472537596,-4.07625871555388
302.166347964321,5.1033292878214,0,44.5701662095093,-4.07853644824619
302.294922868725,5.16883820161561,0,44.5798057847391,-4.07965799183173
302.423968819925,5.23458711375201,0,44.6822869437236,-4.08158950127302
302.55276603469,5.3002092946748,0,44.692556081277,-4.08269622052124
302.681815486178,5.36595999020793,0,44.7659891437249,-4.08435053229907
