,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.23802184283745081,0.1712216862808714,0.5907564708816782
1,2,0.5401973187849024,0.11661240673028554,0.34319027448481265
2,3,0.42986405638090047,0.17177044517912968,0.3983654984399689
3,4,0.49379628922713326,0.49384588630531484,0.012357824467552625
4,5,0.29704085648062556,0.4593433842637351,0.24361575925563952
5,6,0.5004682405464729,0.47495131215065994,0.024580447302867108
6,7,0.4997130912495313,0.49493787925396465,0.0053490294965041025
7,8,0.49029647847412466,0.49432795374351685,0.015375567782359129
8,9,0.4924662951671453,0.4982817965510514,0.009251908281803356
9,10,0.11396911364466647,0.40553520043647995,0.48049568591885383
10,11,0.2291336696448576,0.22430520500270795,0.5465611253524345
11,12,0.361772953676786,0.37135355936111875,0.2668734869620949
12,13,0.49309055303112104,0.46171679912469477,0.04519264784418417
13,14,0.44803217412565394,0.5116999814243278,0.04026784445001769
14,15,0.4746021424541701,0.4960589110685495,0.02933894647728125
15,16,0.3723593346371736,0.496066843867291,0.13157382149553565
16,17,0.4609239235627719,0.4940167077964593,0.04505936864076864
17,18,0.4980601983790958,0.497718552560267,0.004221249060636925
18,19,0.44551764898501467,0.4327074750108715,0.1217748760041134
19,20,0.36191344571063105,0.47149033158186293,0.16659622270750615
20,21,0.4991854019553016,0.4999399409821,0.0008746570625982993
21,22,0.4957622988546515,0.4986597810720189,0.005577920073330557
22,23,0.41638493880450267,0.4561387794748123,0.12747628172068534
23,24,0.5051045146570345,0.462479548949287,0.03241593639367906
24,25,0.49832708746992777,0.4829813275908918,0.018691584939180536
25,26,0.47061246613713975,0.4784259686596175,0.050961565203242326
26,27,0.501560435357959,0.49773976986207674,0.0006997947799641901
27,28,0.4970616795810996,0.49712444341312473,0.005813877005774839
28,29,0.4347976128136811,0.4461070561668563,0.11909533101946249
29,30,0.4932422871951442,0.5013686239400293,0.005389088864826686
30,31,0.4124638136614631,0.5295732562857273,0.05796293005280905
31,32,0.34438029154663274,0.5774005371924802,0.07821917126088695
32,33,0.5569119730706078,0.13109619729836414,0.3119918296310282
33,34,0.5310498217751293,0.4618476427757165,0.007102535449154231
34,35,0.5130979895628242,0.47986460084883636,0.007037409588339006
35,36,0.4830084300074655,0.49373826981966507,0.023253300172869345
36,37,0.5018505401061293,0.4150876378916195,0.08306182200225135
37,38,0.4538996973016402,0.40539158237553136,0.14070872032282836
38,39,0.4974263678914769,0.49583797314594985,0.006735658962572884
39,40,0.49431951815988767,0.496369889814819,0.009310592025293551
40,41,0.4941873168608281,0.48913413480541806,0.0166785483337541
41,42,0.5001667027696495,0.49982411039352825,9.186836822033303e-06
42,43,0.373146494326837,0.20533429736091474,0.4215192083122479
43,44,0.5077834037702557,0.4828081155697013,0.009408480660042403
44,45,0.43354105780773244,0.5195703997548793,0.04688854243738809
45,46,0.38512646712353943,0.4574405097485624,0.15743302312789836
46,47,0.4704440003776831,0.476492572008243,0.05306342761407375
47,48,0.5002738513255762,0.4983321484468759,0.001394000227548121
48,49,0.4203894906629242,0.4662975557149604,0.11331295362211569
49,50,0.49898478830819903,0.499763643049109,0.0012515686426917776
50,51,0.4808042279322543,0.48024859034684214,0.038947181720903445
51,52,0.49540265953207574,0.48045015410043207,0.024147186367492225
52,53,0.30949257460659596,0.43665293791810006,0.2538544874753039
53,54,0.41523665953766103,0.5024075711538977,0.08235576930844175
54,55,0.43870165580101017,0.5050193675676172,0.05627897663137265
55,56,0.4941150439291101,0.4890568597846196,0.016828096286270182
56,57,0.4968823106974684,0.5025774505390794,0.0005402387634526639
57,58,0.49838739787164066,0.49080247289574597,0.010810129232613335
58,59,0.49722435111281,0.49608934611668515,0.0066863027705048005
59,60,0.4317065601540832,0.4194276146293952,0.14886582521652178
60,61,0.3952036466989676,0.3910543563434754,0.21374199695755702
