,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.5001671255393804,0.49961125968045367,0.00022161478016593272
1,2,0.43376545418708284,0.43600827596968145,0.1302262698432358
2,3,0.46332092887163656,0.4414894774867477,0.0951895936416159
3,4,0.5102148338030903,0.48435784887659766,0.005427317320311549
4,5,0.43405841585070104,0.4468020788623377,0.11913950528696181
5,6,0.48666542922814254,0.4858380512245442,0.02749651954731316
6,7,0.3945316196924042,0.4376723745108318,0.16779600579676443
7,8,0.49971481162654097,0.500228373751479,5.681462198006e-05
8,9,0.5133938084974906,0.48121860430779845,0.005387587194710649
9,10,0.49231981256460644,0.5001291113598506,0.007551076075543261
10,11,0.44087209776111563,0.43668656697245023,0.12244133526643358
11,12,0.39384890804455747,0.4449665330245086,0.16118455893093364
12,13,0.270801115353958,0.5647280991686485,0.1644707854773934
13,14,0.5146558810444228,0.47950318261344094,0.005840936342136253
14,15,0.425931404108543,0.48711972486136695,0.08694887103009014
15,16,0.5043139103809332,0.001156315750367002,0.4945297738687001
16,17,0.5000051197083526,0.4940083905450638,0.0059864897465833995
17,18,0.4992691508597564,0.5000693078317593,0.0006615413084838838
18,19,0.5356364842706869,0.2672553883519458,0.19710812737736746
19,20,0.5105753838852786,0.47037509195493266,0.01904952415978835
20,21,0.48953010914474904,0.5047664639928342,0.0057034268624168785
21,22,0.44358765607057904,0.501989722965153,0.05442262096426781
22,23,0.4530546517672652,0.4911110711410235,0.05583427709171128
23,24,0.3241456486467065,0.3838117150089886,0.29204263634430466
24,25,0.41701680235256683,0.09356164417409933,0.4894215534733334
25,26,0.0013436647797414308,0.4946020566699448,0.5040542785503132
26,27,0.5556807066698013,0.22245662900132032,0.22186266432887805
27,28,0.4013977132518438,0.5027492168427591,0.09585306990539667
28,29,0.49796490763618734,0.4975346437263495,0.004500448637463712
29,30,0.3875530026143058,0.5138967265324341,0.09855027085325926
30,31,0.4677390340070963,0.5107079714495175,0.021552994543386383
31,32,0.46843916606391306,0.4883083277433137,0.04325250619277312
32,33,0.489451926334595,0.13085681725727208,0.3796912564081325
33,34,0.5119345985979613,0.4700900313207311,0.0179753700813078
34,35,0.4478391822618259,0.3765317564525517,0.17562906128562297
35,36,0.50647009345578,0.46010600792916306,0.03342389861505737
36,37,0.5408074499117018,0.3934679813375395,0.06572456875075823
37,38,0.5010594034118959,0.49174067673020533,0.007199919857898914
38,39,0.48947155653319296,0.48915505057072356,0.021373392896083036
39,40,0.44057793616350366,0.44668565149593564,0.11273641234056087
40,41,0.4852253286506989,0.48970857438726767,0.02506609696203297
41,42,0.45542515943198547,0.46261993033872123,0.08195491022929301
42,43,0.3504246847976869,0.5980014782922727,0.05157383691004075
43,44,0.5356305218321491,0.18992073434152165,0.2744487438263293
44,45,0.40750937015755445,0.5176886844826988,0.07480194535974699
45,46,0.36076533875557737,0.4150236670932108,0.224210994151212
46,47,0.469664719621425,0.4959450457397116,0.034390234638862954
47,48,0.49889797276448045,0.5002308136064771,0.0008712136290420734
48,49,0.4306842362148276,0.4672093697027399,0.10210639408243317
49,50,0.501600710880152,0.49831604109770145,8.324802214733503e-05
50,51,0.47255533676048334,0.44727807185716334,0.0801665913823536
51,52,0.2231730965957522,0.1731718770284093,0.6036550263758383
52,53,0.5283618495536684,0.3984042591171158,0.07323389132921576
53,54,0.09063654729876251,0.43392534355843765,0.4754381091427998
54,55,0.2844773642996649,0.366550587404692,0.3489720482956432
55,56,0.299857748234216,0.36981928215450793,0.33032296961127533
56,57,0.23806118472015625,0.43845750419047663,0.3234813110893673
57,58,0.33926732628378387,0.33963719602198905,0.3210954776942276
58,59,0.33795110025971387,0.34154156701160926,0.32050733272867676
59,60,0.33622686802280116,0.33861624246407346,0.32515688951312643
60,61,0.338391011630103,0.3438411070844082,0.3177678812854889
61,62,0.33891745265421475,0.36781843095395844,0.2932641163918276
62,63,0.36383599630366836,0.3685320518081657,0.26763195188816635
63,64,0.3361729150847883,0.32920831564864084,0.3346187692665706
64,65,0.34734052426575324,0.3111564755541824,0.3415030001800645
65,66,0.4083987393455415,0.16818912364811386,0.42341213700634445
66,67,0.3905552901406218,0.23615199831768266,0.3732927115416951
67,68,0.34941774430699,0.3143519970729091,0.33623025862010103
68,69,0.48849486783890844,0.3448211607114501,0.16668397144964137
69,70,0.36751951442417985,0.4283309874283641,0.20414949814745537
70,71,0.40697657254404335,0.5247554235924484,0.06826800386350795
71,72,0.5011801586002685,0.011205562084863969,0.4876142793148672
72,73,0.5298196050043191,0.4622189878259343,0.007961407169746923
73,74,0.48567781659850806,0.4856938853528389,0.028628298048653227
74,75,0.3860856153298718,0.3648522528693158,0.24906213180081224
75,76,0.40180618512294886,0.3784428634582191,0.21975095141883155
76,77,0.3077766431537068,0.41594399256316966,0.27627936428312344
77,78,0.4589369994494814,0.46479187741747274,0.07627112313304635
78,79,0.23526179970047556,0.5583546396829483,0.20638356061657603
79,80,5.240324442052002e-64,0.5000000000000003,0.4999999999999998
80,81,2.033954073421592e-61,0.499999999999998,0.5000000000000013
81,82,4.841163962798362e-61,0.4999999999999993,0.5000000000000007
82,83,3.738119474447812e-61,0.5000000000000001,0.5000000000000007
83,84,2.3146555514340897e-61,0.4999999999999996,0.4999999999999996
84,85,3.419373549182757e-63,0.5000000000000001,0.5000000000000002
85,86,5.484137734743954e-61,0.5000000000000002,0.4999999999999999
86,87,1.621030799306941e-61,0.5000000000000001,0.5000000000000007
87,88,5.871539044002489e-61,0.4999999999999996,0.5000000000000001
88,89,1.1735201510425605e-61,0.5000000000000001,0.5000000000000001
89,90,1.569629553717628e-60,0.49999999999999944,0.5000000000000002
90,91,4.1351108948560264e-61,0.5000000000000003,0.4999999999999999
91,92,0.3299525262963516,0.37067007739308494,0.2993773963105636
92,93,0.3468458905663659,0.3434530147467627,0.30970109468687224
93,94,0.31921757214332136,0.32940857708534216,0.3513738507713363
94,95,0.448644721592517,0.3615298114779476,0.18982546692953578
95,96,0.4996703499099242,0.4920368660520304,0.008292784038045183
96,97,0.44979873445376467,0.41644534585479154,0.13375591969144388
97,98,0.3373575191490545,0.31922883317318246,0.3434136476777634
98,99,0.3402145219482203,0.3336760004629747,0.32610947758880526
99,100,0.3485511420148754,0.3479782119702228,0.30347064601490215
100,101,0.47237019903509747,0.45354756665837026,0.0740822343065322
101,102,0.36698662965617107,0.4008656759201506,0.2321476944236776
102,103,0.38381817226429776,0.307013842380897,0.3091679853548049
103,104,0.3336277259131358,0.334715094297197,0.3316571797896673
104,105,0.3340482759694476,0.3371281524865022,0.3288235715440501
105,106,0.33292345625799014,0.3366600239250292,0.3304165198169809
106,107,0.35502983227960533,0.35076033950634306,0.29420982821405156
107,108,0.34518457806441394,0.35221527739945513,0.3026001445361312
108,109,0.2943344602205973,0.3385348721595775,0.3671306676198247
109,110,0.27014365026393244,0.31982038501895094,0.41003596471711673
110,111,0.3422618242078198,0.33593064878147,0.32180752701071014
111,112,0.3226321006422415,0.3560875682302256,0.32128033112753324
112,113,0.2887080466225495,0.43035926355705223,0.28093268982039793
113,114,0.4172821115508179,0.13117600096476179,0.45154188748442
114,115,0.27973682387463916,0.3183511700419939,0.40191200608336697
115,116,0.3089581117070757,0.32056259924393,0.3704792890489943
116,117,0.31440771477233964,0.346069493409165,0.33952279181849576
117,118,0.32586073063760873,0.3612757453692998,0.3128635239930916
118,119,0.33837517662158095,0.3540225761259876,0.30760224725243146
119,120,0.3253868915306138,0.3468443798514329,0.3277687286179529
120,121,0.5043317261696115,0.00021598016158753326,0.4954522936688008
121,122,0.4512403845805456,0.2071673011887474,0.341592314230707
122,123,0.2775733906679526,0.3187548015736006,0.40367180775844697
123,124,0.31021953544976033,0.35266972355173143,0.3371107409985084
124,125,0.3150105476011948,0.3372760670294617,0.34771338536934304
125,126,0.33546483688251094,0.3264884707798523,0.3380466923376365
