,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.5176038770419671,0.4550012288660194,0.02739489409201399
1,2,0.24761347522308122,0.4385003654233987,0.31388615935351927
2,3,0.2147413935545342,0.40335467499906946,0.38190393144639617
3,4,0.4198522072758642,0.05099805523788794,0.529149737486248
4,5,0.07071002304085774,0.4124036583755338,0.5168863185836083
5,6,0.039257145809575254,0.4970093263529068,0.4637335278375178
6,7,0.09184863872629455,0.47795282048157234,0.4301985407921336
7,8,0.21149020854669515,0.4256707673026165,0.36283902415068814
8,9,0.18577611192941793,0.44600902685512905,0.3682148612154537
9,10,0.4059806014523614,0.2998375509873944,0.2941818475602446
10,11,0.6258515779749669,0.07606502333116898,0.2980833986938645
11,12,0.6032244048632726,0.3134102130431279,0.0833653820936
12,13,0.3568722822977098,0.5567193026690276,0.0864084150332625
13,14,0.44801567403944637,0.23310330958614017,0.31888101637441396
14,15,0.2922706962700546,0.2715988240125723,0.4361304797173732
15,16,0.5003028905678188,6.656745083029958e-06,0.4996904526870983
16,17,0.5073565265293165,0.47733096128291785,0.015312512187765172
17,18,0.4177339282717593,0.49761186892393405,0.08465420280430666
18,19,0.37618871961465017,0.4814616487458653,0.14234963163948464
19,20,0.49385748574123983,0.44128585123817465,0.06485666302058533
20,21,0.4665563939211233,0.38084557405521535,0.15259803202366157
21,22,0.4984167421147282,0.49805605930432967,0.0035271985809425255
22,23,0.4931848144583121,0.5002845117099473,0.006530673831740239
23,24,0.3914567671262016,0.5044143122745323,0.10412892059926589
24,25,0.4693067240947815,0.47640157288491103,0.054291703020307266
25,26,0.4971524935076865,0.4981405107693564,0.004706995722957157
26,27,0.5019437684268236,0.49200149694430806,0.006054734628868129
27,28,0.4440503163449551,0.47738876495637655,0.0785609186986687
28,29,0.5043666288325205,0.3625830132551908,0.1330503579122878
29,30,0.4901554626548357,0.48159102017776306,0.028253517167400648
30,31,0.4978496546339997,0.4651334036438848,0.037016941722115566
31,32,0.4341836454889021,0.4497067988215407,0.11610955568955665
32,33,0.49983597909305716,0.5000423633339861,0.00012165757295667153
33,34,0.4981232799626808,0.00012041984056234506,0.5017563001967562
34,35,0.4991420019236651,0.49785154797708797,0.003006450099246807
35,36,0.49804340167986794,0.49925115033558115,0.0027054479845510437
36,37,0.4881286635703583,0.39903824200514415,0.11283309442449738
37,38,0.4965334429994503,0.4980034654886748,0.005463091511875136
38,39,0.4984400521365683,0.49296012737959327,0.008599820483838344
39,40,0.48214182661309496,0.4903463462111123,0.027511827175792355
40,41,0.49315853068240156,0.49739709049019787,0.009444378827400648
41,42,0.5017612878486388,0.4832366115015366,0.015002100649824305
42,43,0.4969509441911411,0.4645244132328344,0.038524642576024344
43,44,0.4891466430189358,0.4836510549913023,0.02720230198976131
44,45,0.4943485999014304,0.496649444209223,0.009001955889346297
45,46,0.496123160353304,0.4968500477931021,0.007026791853593477
46,47,0.48593359843369255,0.490409948649663,0.02365645291664504
47,48,0.49935876465792806,0.500469734158041,0.0001715011840313606
48,49,0.4808235697104395,0.48178705875108624,0.037389371538474485
49,50,0.4803554353222095,0.4627846118453707,0.05685995283242074
50,51,0.4901559293482768,0.5027217314002328,0.007122339251490064
51,52,0.09709592277919973,0.601566365995804,0.3013377112249957
52,53,0.4953716338293257,0.2779736380163511,0.22665472815432333
53,54,0.510843309708996,0.451512357252837,0.03764433303816756
54,55,0.4992942891615824,0.5000927231392635,0.0006129876991542677
55,56,0.4504855015626105,0.44731646921514445,0.10219802922224495
56,57,0.4795018788601366,0.4804711535281537,0.04002696761170975
57,58,0.4151844852601746,0.4132599704561426,0.17155554428368305
58,59,0.4981935285441859,0.49691895420967863,0.0048875172461353535
59,60,0.4203103957680352,0.42465849905352315,0.15503110517844182
60,61,0.47383299750040764,0.4706628227789217,0.05550417972067087
61,62,0.44970314535940265,0.45297597050792443,0.09732088413267288
62,63,0.49967871789908336,0.4992493998620176,0.0010718822388988665
