,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.49592732719220795,0.503422999306206,0.0006496735015858415
1,2,0.49861329441714886,0.5011418510417306,0.0002448545411206622
2,3,0.3831647543150558,0.4726589417143021,0.14417630397064227
3,4,0.40133330849994353,0.5037239334156729,0.09494275808438371
4,5,0.4063021167136025,0.5040753792153888,0.08962250407100913
5,6,0.4859859340970701,0.4997182687351747,0.014295797167755907
6,7,0.49301449533589314,0.41591047027709144,0.09107503438701585
7,8,0.4210705124985871,0.3665611911595576,0.21236829634185486
8,9,0.3124289143309637,0.3858961655152472,0.301674920153789
9,10,0.43271146596166876,0.45719581079679106,0.1100927232415399
10,11,0.5002802743713971,0.49964323543005873,7.649019854436313e-05
11,12,0.41297407386094115,0.22065228217666513,0.36637364396239386
12,13,0.49759821369081736,0.49333989763320585,0.00906188867597704
13,14,0.36544822866792476,0.12102208627820428,0.5135296850538711
14,15,0.4809509755078788,0.49245612532563654,0.026592899166484173
15,16,0.4768447199129583,0.4993662860246307,0.023788994062410508
16,17,3.1726858278265614e-61,0.5000000000000018,0.49999999999999867
17,18,8.243289191579777e-61,0.4999999999999996,0.5000000000000003
18,19,8.909177365387118e-61,0.5000000000000028,0.49999999999999756
19,20,1.1093116246678305e-61,0.4999999999999773,0.500000000000023
20,21,2.0134167873900059e-60,0.4999999999999972,0.5000000000000029
21,22,4.238238236328598e-62,0.499999999999998,0.5000000000000013
22,23,6.817503127521968e-62,0.4999999999999998,0.5000000000000009
23,24,4.004423328447688e-62,0.5000000000000021,0.499999999999998
24,25,6.406449556976151e-62,0.499999999999998,0.5000000000000021
25,26,3.225797734817679e-61,0.5000000000000017,0.4999999999999979
26,27,5.549723758896849e-62,0.5000000000000002,0.5000000000000003
27,28,1.1031076805183556e-61,0.4999999999999864,0.5000000000000138
28,29,1.123406661749279e-61,0.5000000000000006,0.4999999999999999
29,30,2.4402017340458605e-61,0.5000000000000041,0.49999999999999584
30,31,7.992818996802162e-62,0.500000000000002,0.499999999999998
31,32,4.685490023403867e-61,0.4999999999999996,0.4999999999999999
32,33,3.887471429444702e-61,0.49999999999999817,0.5000000000000014
33,34,1.1549979477018653e-60,0.4999999999999998,0.5000000000000001
34,35,1.549512695127464e-61,0.49999999999999506,0.5000000000000048
35,36,7.516467814395236e-63,0.49999999999999817,0.500000000000002
36,37,1.7455273899237562e-61,0.4999999999999999,0.5000000000000001
37,38,5.145760483709635e-61,0.5000000000000089,0.4999999999999913
38,39,5.27274293723148e-61,0.5000000000000007,0.4999999999999998
39,40,5.745853624696259e-61,0.5000000000000029,0.49999999999999617
40,41,6.63426286201705e-60,0.5000000000000059,0.4999999999999947
41,42,3.771696967174362e-60,0.49999999999999534,0.5000000000000044
