,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.4533135443779799,0.4765216383455609,0.07016481727645967
1,2,0.5087205028955593,0.4903945880154068,0.0008849090890336035
2,3,0.2891045760478695,0.323086662192142,0.3878087617599884
3,4,0.3083739115868291,0.34285143089083037,0.3487746575223397
4,5,0.5165805015553032,0.05115204003364889,0.4322674584110477
5,6,0.49923372871876615,0.00044862321575213663,0.5003176480654822
6,7,0.48663842531587626,0.004110967299843756,0.50925060738428
7,8,0.5341971212660993,0.3538787858697098,0.11192409286419079
8,9,0.4131541365989558,0.5299432604774837,0.05690260292356025
9,10,0.3617014499054813,0.5691310493225771,0.06916750077194175
10,11,0.07433987952232397,0.48135848666867026,0.44430163380900556
11,12,0.2650915750445992,0.5512802158782315,0.1836282090771698
12,13,0.4124188127506817,0.5244046034183882,0.06317658383092993
13,14,0.49553094215181387,0.5004734916128952,0.003995566235290687
14,15,0.26741886130857884,0.24325821100102363,0.4893229276903983
15,16,0.46539428806652844,0.351592328712613,0.18301338322085894
16,17,0.5112151516261093,0.47552030601382633,0.013264542360064663
17,18,0.48043284849035534,0.4090366079677061,0.11053054354193798
18,19,0.41775170920377075,0.4919419346562748,0.09030635613995401
19,20,0.38247191597779145,0.2435180153221705,0.3740100687000376
20,21,0.1453076435317747,0.42505609075129863,0.42963626571692687
21,22,0.11997012470733384,0.4663421194815605,0.4136877558111065
22,23,0.4049615730393893,0.3027021030130007,0.29233632394760994
23,24,0.49789494067386136,0.3557921496552613,0.14631290967087732
24,25,0.45230845197579694,0.3937822302477116,0.1539093177764912
25,26,0.4863867613223054,0.49130510187637744,0.022308136801317435
26,27,0.5139278289212937,0.471751680335181,0.014320490743525054
27,28,0.41830908794756405,0.35253662931895563,0.22915428273348043
28,29,0.4908786654302008,0.44454853993942123,0.06457279463037821
29,30,0.5005615314582879,0.4989159925012474,0.0005224760404643321
30,31,0.45695361752220454,0.43514969419985755,0.10789668827793772
31,32,0.4672966117713235,0.20437122738809058,0.3283321608405861
32,33,0.47813854839887415,0.44158995139369284,0.08027150020743253
33,34,0.5007300034164512,0.49869411363043453,0.0005758829531137088
34,35,0.45340445710350735,0.3811887264168026,0.16540681647968994
35,36,0.4998866972536172,0.039115525458562984,0.4609977772878195
36,37,0.5037566737254103,0.49325479309917236,0.0029885331754172287
37,38,0.4686328331727629,0.34057098405428693,0.19079618277295032
38,39,0.4841267311329977,0.5000109122225428,0.015862356644459726
39,40,0.46490633680113175,0.4241131723008104,0.11098049089805775
40,41,0.5016421907394507,0.49805742681452486,0.00030038244602435474
41,42,0.4569460417166694,0.5020552547869158,0.04099870349641471
42,43,0.3666731123416189,0.17661285125434148,0.45671403640404
43,44,0.420759967049533,0.4920067602960451,0.08723327265442153
44,45,0.48966653643968167,0.5012564337570129,0.009077029803305756
45,46,0.49223376706845684,0.48192399120915286,0.02584224172239038
46,47,0.4967075440134483,0.4791793969937742,0.024113058992777988
