,Window_Index,Loading_Temperature_Prop,Loading_force_Prop,Loading_Voltage_Prop
0,1,0.4162434676047859,0.49187927932122516,0.09187725307398942
1,2,0.4938119438986998,0.49496971626391223,0.011218339837388108
2,3,0.28854715164459105,0.36924396054155506,0.3422088878138538
3,4,0.05722587523048911,0.42992634393011453,0.5128477808393963
4,5,0.5471794602252078,0.403587731573685,0.04923280820110736
5,6,0.43944543881752834,0.46094073960884363,0.09961382157362787
6,7,0.4889037683068759,0.48619213612469026,0.02490409556843399
7,8,0.49663289301810265,0.497950264108496,0.005416842873401639
8,9,0.4868917041490808,0.4868763949137868,0.026231900937132194
9,10,0.4545821669006753,0.2187466678409704,0.32667116525835366
10,11,0.42807798632062627,0.4080461376610763,0.16387587601829828
11,12,0.5080129704943094,0.44718584431050185,0.04480118519518885
12,13,0.47556363459935447,0.4964974188102042,0.02793894659044106
13,14,0.46996610213928197,0.49393685656011693,0.036097041300601554
14,15,0.4698884420733216,0.4707717767553158,0.0593397811713625
15,16,0.47227589144357673,0.4561975630023985,0.07152654555402481
16,17,0.4963613563176064,0.49702287268799095,0.0066157709944025265
17,18,0.49498805025890263,0.49576328236826656,0.009248667372830404
18,19,0.46193794761401985,0.47241398888244085,0.06564806350353883
19,20,8.328284544885361e-61,0.49999999999999756,0.500000000000002
20,21,9.60946859087704e-62,0.5000000000000009,0.49999999999999944
21,22,6.357585061775108e-61,0.4999999999999998,0.4999999999999999
22,23,6.58068583116859e-61,0.4999999999999996,0.5000000000000006
23,24,2.0383000502144803e-60,0.5000000000000002,0.4999999999999996
24,25,1.768619054114752e-60,0.49999999999999944,0.5000000000000007
25,26,1.0295955091599662e-60,0.500000000000002,0.4999999999999979
26,27,1.5254482635341741e-63,0.5000000000000014,0.49999999999999867
27,28,8.582719400237148e-60,0.49999999999999944,0.5000000000000003
28,29,6.963682095416018e-61,0.5000000000000006,0.4999999999999998
29,30,7.358070822884726e-61,0.49999999999999817,0.5000000000000014
30,31,6.401166546394241e-61,0.5000000000000002,0.4999999999999999
31,32,8.53197343554515e-62,0.5000000000000041,0.4999999999999963
32,33,1.7985469043088414e-63,0.5000000000000002,0.5000000000000002
33,34,3.285131863974078e-61,0.4999999999999999,0.4999999999999999
34,35,2.086524479314518e-60,0.5000000000000007,0.4999999999999996
35,36,1.178259217096599e-63,0.5000000000000006,0.4999999999999998
36,37,9.47107565202979e-62,0.49999999999999145,0.5000000000000084
37,38,1.820284936003673e-61,0.5000000000000001,0.4999999999999998
38,39,5.548962566304944e-60,0.500000000000006,0.4999999999999941
