,dataset,40_150
0,Sorteria-100SOC-cell1,0.25555555555555554
1,Sorteria-100SOC-cell2,0.16366366366366367
2,Soteria-SCC-90SOC-cell1,0.25255255255255254
3,Soteria-SCC-80SOC-cell1,0.31321321321321327
4,Soteria-SCC-60SOC-cell1,0.1699699699699699
5,Soteria-SCC-20SOC-5180mAh,0.2894894894894895
6,OE-LCO-6340mAh-0SOC,0.32192192192192187
7,Soteria-SCC-5070-70SOC,0.3411411411411411
8,Soteria-SCC-4160mAh-100SOC-8mm,0.35645645645645646
9,Soteria-SCC-4720mAh-40SOC,0.3666666666666666
10,Soteria-SCC-4700mAh-100SOC-12mm,0.26696696696696703
11,Soteria-SCC-5050mAhr-100SOC,0.3237237237237237
12,Soteria-SCC-4870mah-0SOC,0.3531531531531531
13,Soteria-SCC-4630mAh-10SOC,0.25435435435435433
14,Soteria-SCC-5080mAh-20SOC,0.37267267267267273
15,Soteria-SCC-5170mAh-60SOC,0.16516516516516513
16,OE-LFP10Ah-0SOC-cell9,0.3696696696696697
17,OE-LFP10Ah-0SOC-cell10,0.2792792792792793
18,OE-LFP10Ah-40SOC-cell7,0.3642642642642643
19,OE-LFP10Ah-70SOC-cell5,0.3018018018018018
20,OE-LFP10Ah-70SOC-cell6,0.30480480480480476
21,OE-LFP10Ah-100SOC-cell2,0.3504504504504504
22,OE-LFP10Ah-80SOC-Cell15,0.3279279279279279
23,OE-LFP-cell14-60SOC-10Ah,0.3162162162162162
24,OE-LFP10Ah-60SOC,0.3873873873873873
25,500mAh1-20S0C,0.2396396396396396
26,500mAh1-40S0C,0.1966966966966967
27,500mAh1-60S0C,0.3600600600600601
28,500mAh1-80S0C,0.3558558558558558
29,500mAh1-100S0C,0.38798798798798795
30,500mAh2-20S0C,0.31441441441441437
31,500mAh2-40S0C,0.3651651651651652
32,500mAh2-60S0C,0.29099099099099085
33,500mAh2-80S0C,0.29489489489489473
34,500mAh2-100S0C,0.31591591591591583
35,500mAh3-20S0C,0.3696696696696697
36,500mAh3-40S0C,0.3654654654654655
37,500mAh3-60S0C,0.2960960960960961
38,500mAh3-80S0C,0.3450450450450451
39,500mAh3-100S0C,0.34234234234234223
40,2000mAh1-20S0C,0.31531531531531537
41,2000mAh1-40S0C,0.34474474474474476
42,2000mAh2-20S0C,0.34564564564564565
43,2000mAh2-40S0C,0.2807807807807807
44,1500mAh1-20S0C,0.2990990990990992
45,1500mAh1-40S0C,0.17747747747747747
46,1500mAh1-60S0C,0.324924924924925
47,1500mAh1-80S0C,0.3168168168168168
48,1500mAh1-100S0C,0.3285285285285285
49,1500mAh2-20S0C,0.275975975975976
50,1500mAh2-40S0C,0.35915915915915914
51,1500mAh2-60S0C,0.32852852852852854
52,1500mAh2-80S0C,0.25255255255255254
53,1500mAh2-100S0C,0.35975975975975966
54,1500mAh3-20S0C,0.37507507507507504
55,1500mAh3-40S0C,0.3507507507507508
56,1500mAh3-60S0C,0.29069069069069065
57,1500mAh3-80S0C,0.3465465465465466
58,1500mAh3-100S0C,0.3162162162162162
59,OE-LFP10Ah-20SOC,0.37357357357357357
60,Soteria-Control-0SOC-cell1,0.3117117117117117
61,OE-LCO-6500mAh-20SOC,0.36396396396396397
62,OE-LCO-6560mAh-0SOC,0.35165165165165163
63,OE-LCO-6550mAh-20SOC,0.315015015015015
64,OE-LCO-6400mAh-20SOC,0.35195195195195184
65,OE-LFP10Ah-40SOC-cell8,0.38618618618618616
66,OE-LFP10Ah-80SOC-cell3,0.38798798798798795
67,OE-LFP10Ah-80SOC-cell4,0.3351351351351352
68,OE-LFP10Ah-100SOC-cell1,0.2888888888888889
69,OE-LFP10Ah-100SOC-cell12,0.37387387387387394
70,OE-10AHr-NMC-40SOC-Cell4,0.3738738738738739
71,OE-10Ahr-NMC-0SOC-cell2,0.2957957957957958
72,LFP10Ah-60SOC-Cell17,0.32192192192192187
73,OE-LFP10Ah-80SOC-cell13,0.31951951951951957
74,2000mAh1-60S0C,0.31021021021021017
75,2000mAh1-80S0C,0.35255255255255247
76,2000mAh1-100S0C,0.31561561561561563
