,dataset,15_100
0,Sorteria-100SOC-cell1,0.3069767441860465
1,Sorteria-100SOC-cell2,0.2794573643410853
2,Soteria-SCC-90SOC-cell1,0.22093023255813957
3,Soteria-SCC-80SOC-cell1,0.3651162790697674
4,Soteria-SCC-60SOC-cell1,0.21317829457364343
5,Soteria-SCC-20SOC-5180mAh,0.24496124031007754
6,OE-LCO-6340mAh-0SOC,0.38255813953488366
7,Soteria-SCC-5070-70SOC,0.26627906976744187
8,Soteria-SCC-4160mAh-100SOC-8mm,0.40348837209302324
9,Soteria-SCC-4720mAh-40SOC,0.3348837209302325
10,Soteria-SCC-4700mAh-100SOC-12mm,0.3364341085271318
11,Soteria-SCC-5050mAhr-100SOC,0.3329457364341085
12,Soteria-SCC-4870mah-0SOC,0.3825581395348837
13,Soteria-SCC-4630mAh-10SOC,0.3217054263565891
14,Soteria-SCC-5080mAh-20SOC,0.40116279069767435
15,Soteria-SCC-5170mAh-60SOC,0.1810077519379845
16,OE-LFP10Ah-0SOC-cell9,0.4980620155038759
17,OE-LFP10Ah-0SOC-cell10,0.3321705426356588
18,OE-LFP10Ah-40SOC-cell7,0.46434108527131784
19,OE-LFP10Ah-70SOC-cell5,0.4127906976744186
20,OE-LFP10Ah-70SOC-cell6,0.41240310077519376
21,OE-LFP10Ah-100SOC-cell2,0.5151162790697674
22,OE-LFP10Ah-80SOC-Cell15,0.42054263565891475
23,OE-LFP-cell14-60SOC-10Ah,0.355813953488372
24,OE-LFP10Ah-60SOC,0.39728682170542634
25,500mAh1-20S0C,0.29069767441860456
26,500mAh1-40S0C,0.3108527131782945
27,500mAh1-60S0C,0.3844961240310077
28,500mAh1-80S0C,0.40155038759689915
29,500mAh1-100S0C,0.4833333333333334
30,500mAh2-20S0C,0.49263565891472866
31,500mAh2-40S0C,0.5058139534883721
32,500mAh2-60S0C,0.3170542635658914
33,500mAh2-80S0C,0.3042635658914728
34,500mAh2-100S0C,0.4186046511627906
35,500mAh3-20S0C,0.5263565891472868
36,500mAh3-40S0C,0.45465116279069756
37,500mAh3-60S0C,0.43294573643410855
38,500mAh3-80S0C,0.4333333333333333
39,500mAh3-100S0C,0.39806201550387593
40,2000mAh1-20S0C,0.451937984496124
41,2000mAh1-40S0C,0.38294573643410845
42,2000mAh2-20S0C,0.4391472868217053
43,2000mAh2-40S0C,0.42441860465116277
44,1500mAh1-20S0C,0.33720930232558133
45,1500mAh1-40S0C,0.2554263565891473
46,1500mAh1-60S0C,0.4763565891472868
47,1500mAh1-80S0C,0.36589147286821705
48,1500mAh1-100S0C,0.427906976744186
49,1500mAh2-20S0C,0.3585271317829457
50,1500mAh2-40S0C,0.47790697674418603
51,1500mAh2-60S0C,0.37868217054263564
52,1500mAh2-80S0C,0.3523255813953488
53,1500mAh2-100S0C,0.4430232558139534
54,1500mAh3-20S0C,0.45
55,1500mAh3-40S0C,0.41046511627906984
56,1500mAh3-60S0C,0.33527131782945735
57,1500mAh3-80S0C,0.43294573643410844
58,1500mAh3-100S0C,0.4457364341085271
59,OE-LFP10Ah-20SOC,0.47170542635658913
60,Soteria-Control-0SOC-cell1,0.3166666666666665
61,OE-LCO-6500mAh-20SOC,0.3682170542635658
62,OE-LCO-6560mAh-0SOC,0.3957364341085271
63,OE-LCO-6550mAh-20SOC,0.29457364341085257
64,OE-LCO-6400mAh-20SOC,0.35930232558139524
65,OE-LFP10Ah-40SOC-cell8,0.47829457364341077
66,OE-LFP10Ah-80SOC-cell3,0.49844961240310076
67,OE-LFP10Ah-80SOC-cell4,0.34108527131782945
68,OE-LFP10Ah-100SOC-cell1,0.4643410852713179
69,OE-LFP10Ah-100SOC-cell12,0.48449612403100767
70,OE-10AHr-NMC-40SOC-Cell4,0.4581395348837209
71,OE-10Ahr-NMC-0SOC-cell2,0.4391472868217054
72,LFP10Ah-60SOC-Cell17,0.44457364341085276
73,OE-LFP10Ah-80SOC-cell13,0.30542635658914724
74,2000mAh1-60S0C,0.3655038759689922
75,2000mAh1-80S0C,0.4891472868217054
76,2000mAh1-100S0C,0.3903100775193798
77,2000mAh2-60S0C,0.4720930232558139
78,2000mAh2-80S0C,0.4813953488372093
79,2000mAh2-100S0C,0.3682170542635659
80,OE-NMC10Ah-20SOC,0.43488372093023264
81,OE-NMC10Ah-20SOC-cell2,0.46162790697674416
82,Soteria-Control-5030mAh-10SOC,0.49496124031007743
83,Soteria-control-10SOC-cell1,0.301937984496124
84,OE-LCO-6490mAh-60SOC,0.3883720930232558
85,OE-LCO-6270mAh-40SOC,0.4635658914728682
86,OE-LCO-6500mAh-40SOC,0.36046511627906974
87,Soteria-Control-50SOC,0.3220930232558138
88,OE-10Ahr-NMC-40SOC-cell1,0.3426356589147286
89,OE-10Ahr-NMC-0SOC-cell1,0.3577519379844961
90,OE-NMC10Ah-45SOC,0.41744186046511617
91,OE-NMC10Ah-45SOC-cell2,0.39379844961240307
92,Soteria-Control-5120mAh-50SOC,0.4604651162790697
93,Soteria-Control-5010mAh-20SOC,0.4542635658914728
94,Sorteria-control-20SOC-cell1,0.3054263565891472
95,Soteria-control-30SOC-cell2,0.33682170542635653
96,Soteria-control-30SOC-cell1,0.40155038759689915
